                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3086,                 4.2551,                 1.5432,                0.28629,                0.11415,                0.06433,                 0.0435,                 1.2034,                 3.3696,                 1.4477,              0.0001002,              0.0001002,              0.0001002
                      2,                 1.2966,                 3.6115,                 1.4983,                0.19833,                 0.3128,                0.13464,                0.08773,                 1.2713,                 2.9063,                 1.4934,             0.00019921,             0.00019921,             0.00019921
                      3,                 1.2976,                 3.2524,                 1.5052,                0.19333,                0.31507,                0.18592,                0.11706,                 1.3057,                 2.8479,                 1.5291,             0.00029622,             0.00029622,             0.00029622
                      4,                 1.3113,                 2.9916,                 1.5173,                0.20951,                0.37916,                0.23329,                0.15013,                 1.2926,                 2.4309,                 1.5424,               0.000294,               0.000294,               0.000294
                      5,                 1.2807,                  2.822,                  1.476,                 0.2476,                0.38367,                0.28213,                0.19127,                 1.2893,                 2.2613,                 1.4974,               0.000291,               0.000291,               0.000291
                      6,                 1.2579,                 2.6648,                 1.4536,                0.30479,                0.47261,                0.32184,                0.21047,                 1.2261,                 2.1402,                 1.4426,               0.000288,               0.000288,               0.000288
                      7,                 1.2598,                 2.5763,                 1.4507,                0.34413,                0.46091,                0.35375,                0.23252,                 1.2282,                 2.1519,                 1.4398,               0.000285,               0.000285,               0.000285
                      8,                 1.2394,                 2.4941,                 1.4419,                0.31725,                0.42174,                0.35031,                0.24287,                 1.2426,                 2.0738,                 1.4528,               0.000282,               0.000282,               0.000282
                      9,                 1.2418,                 2.4091,                  1.442,                0.31684,                0.40756,                0.36084,                0.24761,                 1.2299,                 2.1148,                 1.4586,               0.000279,               0.000279,               0.000279
                     10,                 1.2121,                  2.367,                 1.4245,                0.31603,                0.48645,                0.38275,                 0.2551,                 1.2265,                 1.9803,                 1.4317,               0.000276,               0.000276,               0.000276
                     11,                 1.1958,                 2.2402,                 1.4019,                 0.3929,                0.45023,                0.42514,                0.28857,                 1.2385,                 1.8927,                 1.4379,               0.000273,               0.000273,               0.000273
                     12,                 1.1919,                 2.2246,                  1.397,                0.30366,                0.43555,                 0.3613,                0.23264,                 1.2429,                 1.9789,                 1.4518,                0.00027,                0.00027,                0.00027
                     13,                 1.1892,                 2.1579,                 1.3915,                0.40045,                0.44392,                0.41047,                0.27199,                 1.2666,                 2.0642,                 1.4621,               0.000267,               0.000267,               0.000267
                     14,                 1.1847,                 2.1289,                 1.3804,                 0.3678,                 0.4832,                0.42988,                0.29595,                 1.2314,                 1.8168,                 1.4265,               0.000264,               0.000264,               0.000264
                     15,                 1.1823,                 2.0986,                 1.3873,                0.42463,                 0.4537,                0.43754,                0.28965,                 1.2302,                 1.8235,                 1.4167,               0.000261,               0.000261,               0.000261
                     16,                 1.1725,                 2.0309,                 1.3728,                0.39889,                0.55185,                0.46057,                0.31372,                 1.2108,                 1.8111,                 1.4362,               0.000258,               0.000258,               0.000258
                     17,                 1.1767,                  1.987,                 1.3739,                0.39251,                0.57298,                0.47253,                 0.3216,                 1.2304,                 1.7066,                 1.4035,               0.000255,               0.000255,               0.000255
                     18,                 1.1719,                  1.967,                 1.3721,                 0.4462,                0.48817,                0.47168,                0.31487,                 1.2465,                 1.7695,                 1.4358,             0.00025201,             0.00025201,             0.00025201
                     19,                 1.1739,                 1.9194,                  1.368,                0.39114,                0.45049,                  0.424,                0.29269,                   1.22,                 1.9171,                 1.3967,             0.00024901,             0.00024901,             0.00024901
                     20,                 1.1495,                  1.903,                 1.3477,                0.39999,                0.45286,                0.43907,                0.29695,                 1.2259,                 1.9803,                  1.418,             0.00024601,             0.00024601,             0.00024601
                     21,                 1.1404,                 1.8238,                 1.3519,                0.44329,                0.46568,                 0.4445,                0.30512,                 1.2094,                 1.7895,                 1.3768,             0.00024301,             0.00024301,             0.00024301
                     22,                 1.1495,                 1.8164,                 1.3385,                0.52406,                0.42156,                0.47535,                0.33034,                 1.1833,                 1.6643,                 1.3675,             0.00024001,             0.00024001,             0.00024001
                     23,                 1.1583,                 1.7568,                 1.3694,                0.41006,                0.52586,                0.48427,                0.33492,                 1.2101,                 1.6689,                 1.3782,             0.00023701,             0.00023701,             0.00023701
                     24,                 1.1361,                 1.7595,                 1.3487,                0.50832,                0.46985,                0.49223,                0.34492,                 1.2014,                 1.6112,                 1.3864,             0.00023401,             0.00023401,             0.00023401
                     25,                 1.1236,                 1.7323,                 1.3296,                0.40208,                0.50493,                0.47557,                0.32618,                 1.2167,                 1.6837,                  1.398,             0.00023101,             0.00023101,             0.00023101
                     26,                 1.1206,                 1.7011,                 1.3305,                0.45959,                0.48237,                0.49049,                 0.3432,                 1.2112,                 1.5847,                  1.381,             0.00022801,             0.00022801,             0.00022801
                     27,                 1.1056,                 1.6685,                 1.3158,                0.42772,                0.53766,                0.48863,                0.33657,                 1.1951,                 1.5867,                 1.3824,             0.00022501,             0.00022501,             0.00022501
                     28,                 1.1333,                 1.6963,                 1.3268,                 0.4737,                0.48611,                0.48119,                0.33266,                 1.2373,                 1.8117,                 1.3892,             0.00022201,             0.00022201,             0.00022201
                     29,                 1.1207,                  1.623,                 1.3165,                0.52117,                0.49316,                0.52683,                0.36938,                 1.1872,                 1.6217,                 1.3633,             0.00021901,             0.00021901,             0.00021901
                     30,                 1.0985,                 1.6071,                 1.3163,                0.42624,                0.53999,                0.49152,                 0.3445,                 1.2051,                 1.6651,                 1.3954,             0.00021601,             0.00021601,             0.00021601
                     31,                 1.1027,                 1.5967,                 1.3113,                0.50441,                0.50374,                0.50805,                0.36273,                 1.1854,                 1.5823,                 1.3751,             0.00021301,             0.00021301,             0.00021301
                     32,                 1.0973,                 1.5961,                  1.329,                0.44445,                0.53581,                0.49247,                0.33988,                 1.2206,                 1.6601,                 1.4103,             0.00021001,             0.00021001,             0.00021001
                     33,                  1.101,                 1.5553,                 1.3111,                0.54574,                0.50858,                0.51221,                0.35656,                 1.2063,                 1.6214,                 1.3881,             0.00020701,             0.00020701,             0.00020701
                     34,                  1.104,                 1.5361,                 1.3138,                0.46408,                0.51339,                0.52052,                0.35929,                 1.1971,                 1.5728,                 1.3961,             0.00020401,             0.00020401,             0.00020401
